"strategy","day","profit-per-ticket"
"100 ticket(s)",198,-0.5
"100 ticket(s)",199,-1
"100 ticket(s)",200,0
"500 ticket(s)",1,-0.4
"500 ticket(s)",2,-0.1
"500 ticket(s)",3,1.7
"500 ticket(s)",4,2.3
"500 ticket(s)",5,-0.4
"500 ticket(s)",6,-0.3
"500 ticket(s)",7,-0.4
"500 ticket(s)",8,0.1
"500 ticket(s)",9,2.1
"500 ticket(s)",10,2
"500 ticket(s)",11,0.5
"500 ticket(s)",12,0.2
"500 ticket(s)",13,-0.4
"500 ticket(s)",14,0.2
"500 ticket(s)",15,4.4
"500 ticket(s)",16,0.2
"500 ticket(s)",17,0
"500 ticket(s)",18,2.2
"500 ticket(s)",19,3.9
"500 ticket(s)",20,-0.1
"500 ticket(s)",21,-0.6
"500 ticket(s)",22,-0.1
"500 ticket(s)",23,2.1
"500 ticket(s)",24,0.3
"500 ticket(s)",25,0.1
"500 ticket(s)",26,0.6
"500 ticket(s)",27,1.7
"500 ticket(s)",28,-0.1
"500 ticket(s)",29,1.7
"500 ticket(s)",30,0
"500 ticket(s)",31,0.7
"500 ticket(s)",32,1.9
"500 ticket(s)",33,0.1
"500 ticket(s)",34,0.1
"500 ticket(s)",35,0.1
"500 ticket(s)",36,0.2
"500 ticket(s)",37,0.1
"500 ticket(s)",38,4.1
"500 ticket(s)",39,-0.6
"500 ticket(s)",40,0
"500 ticket(s)",41,-0.3
"500 ticket(s)",42,-0.3
"500 ticket(s)",43,-0.2
"500 ticket(s)",44,-0.6
"500 ticket(s)",45,-0.1
"500 ticket(s)",46,-0.2
"500 ticket(s)",47,1.7
"500 ticket(s)",48,5.4
"500 ticket(s)",49,0.1
"500 ticket(s)",50,4.4
"500 ticket(s)",51,-0.3
"500 ticket(s)",52,-0.4
"500 ticket(s)",53,0.5
"500 ticket(s)",54,1.8
"500 ticket(s)",55,3.5
"500 ticket(s)",56,3.8
"500 ticket(s)",57,2.2
"500 ticket(s)",58,0.1
"500 ticket(s)",59,0.2
"500 ticket(s)",60,1.9
"500 ticket(s)",61,-0.2
"500 ticket(s)",62,1.7
"500 ticket(s)",63,4
"500 ticket(s)",64,4
"500 ticket(s)",65,2.1
"500 ticket(s)",66,0.4
"500 ticket(s)",67,-0.4
"500 ticket(s)",68,0
"500 ticket(s)",69,-0.1
"500 ticket(s)",70,-0.3
"500 ticket(s)",71,-0.3
"500 ticket(s)",72,1.9
"500 ticket(s)",73,-0.5
"500 ticket(s)",74,-0.2
"500 ticket(s)",75,2.3
"500 ticket(s)",76,-0.2
"500 ticket(s)",77,2.1
"500 ticket(s)",78,2.1
"500 ticket(s)",79,-0.4
"500 ticket(s)",80,-0.7
"500 ticket(s)",81,-0.1
"500 ticket(s)",82,0
"500 ticket(s)",83,2
"500 ticket(s)",84,0
"500 ticket(s)",85,-0.7
"500 ticket(s)",86,0.2
"500 ticket(s)",87,0
"500 ticket(s)",88,0.6
"500 ticket(s)",89,0.5
"500 ticket(s)",90,1.5
"500 ticket(s)",91,-0.5
"500 ticket(s)",92,-0.4
"500 ticket(s)",93,0
"500 ticket(s)",94,2.1
"500 ticket(s)",95,4.1
"500 ticket(s)",96,0.5
"500 ticket(s)",97,-0.2
"500 ticket(s)",98,0.2
"500 ticket(s)",99,-0.4
"500 ticket(s)",100,2.6
"500 ticket(s)",101,1.7
"500 ticket(s)",102,1.8
"500 ticket(s)",103,-0.6
"500 ticket(s)",104,0
"500 ticket(s)",105,0.1
"500 ticket(s)",106,0.1
"500 ticket(s)",107,2.3
"500 ticket(s)",108,0.5
"500 ticket(s)",109,-0.1
"500 ticket(s)",110,1.9
"500 ticket(s)",111,2.1
"500 ticket(s)",112,-0.1
"500 ticket(s)",113,2
"500 ticket(s)",114,0.2
"500 ticket(s)",115,3.7
"500 ticket(s)",116,-0.5
"500 ticket(s)",117,3.8
"500 ticket(s)",118,1.7
"500 ticket(s)",119,1.6
"500 ticket(s)",120,-0.4
"500 ticket(s)",121,-0.4
"500 ticket(s)",122,1.8
"500 ticket(s)",123,1.8
"500 ticket(s)",124,-0.4
"500 ticket(s)",125,1.3
"500 ticket(s)",126,0
"500 ticket(s)",127,-0.2
"500 ticket(s)",128,2.7
"500 ticket(s)",129,0.2
"500 ticket(s)",130,-0.4
"500 ticket(s)",131,50
"500 ticket(s)",132,0.2
"500 ticket(s)",133,0.4
"500 ticket(s)",134,-0.1
"500 ticket(s)",135,-0.4
"500 ticket(s)",136,2
"500 ticket(s)",137,-0.2
"500 ticket(s)",138,5.5
"500 ticket(s)",139,-0.3
"500 ticket(s)",140,-0.7
"500 ticket(s)",141,-0.5
"500 ticket(s)",142,2.2
"500 ticket(s)",143,-0.3
"500 ticket(s)",144,-0.3
"500 ticket(s)",145,0.1
"500 ticket(s)",146,2.3
"500 ticket(s)",147,-0.2
"500 ticket(s)",148,1.6
"500 ticket(s)",149,-0.6
"500 ticket(s)",150,-0.1
"500 ticket(s)",151,0.3
"500 ticket(s)",152,-0.5
"500 ticket(s)",153,1.8
"500 ticket(s)",154,0.1
"500 ticket(s)",155,0
"500 ticket(s)",156,0.3
"500 ticket(s)",157,-0.1
"500 ticket(s)",158,-0.3
"500 ticket(s)",159,50.1
"500 ticket(s)",160,0
"500 ticket(s)",161,-0.1
"500 ticket(s)",162,0.4
"500 ticket(s)",163,-0.2
"500 ticket(s)",164,-0.1
"500 ticket(s)",165,0.2
"500 ticket(s)",166,-0.4
"500 ticket(s)",167,0.2
"500 ticket(s)",168,1.9
"500 ticket(s)",169,51.7
"500 ticket(s)",170,1.5
"500 ticket(s)",171,-0.1
"500 ticket(s)",172,0.2
"500 ticket(s)",173,-0.4
"500 ticket(s)",174,1.8
"500 ticket(s)",175,1.9
"500 ticket(s)",176,0.1
"500 ticket(s)",177,-0.2
"500 ticket(s)",178,1.8
"500 ticket(s)",179,0
"500 ticket(s)",180,0.1
"500 ticket(s)",181,-0.4
"500 ticket(s)",182,-0.2
"500 ticket(s)",183,-0.5
"500 ticket(s)",184,53.6
"500 ticket(s)",185,1.6
"500 ticket(s)",186,-0.3
"500 ticket(s)",187,0.2
"500 ticket(s)",188,2.3
"500 ticket(s)",189,2.2
"500 ticket(s)",190,0.2
"500 ticket(s)",191,4.5
"500 ticket(s)",192,2.1
"500 ticket(s)",193,-0.1
"500 ticket(s)",194,-0.3
"500 ticket(s)",195,3.8
"500 ticket(s)",196,-0.2
"500 ticket(s)",197,-0.6
"500 ticket(s)",198,1.9
"500 ticket(s)",199,-0.1
"500 ticket(s)",200,1.4
"2500 ticket(s)",1,0.2
"2500 ticket(s)",2,0.74
"2500 ticket(s)",3,0.66
"2500 ticket(s)",4,1.02
"2500 ticket(s)",5,1
"2500 ticket(s)",6,-0.02
"2500 ticket(s)",7,1.98
"2500 ticket(s)",8,1.1
"2500 ticket(s)",9,0.28
"2500 ticket(s)",10,1.2
"2500 ticket(s)",11,1.36
"2500 ticket(s)",12,1.12
"2500 ticket(s)",13,0.58
"2500 ticket(s)",14,1.36
"2500 ticket(s)",15,1.12
"2500 ticket(s)",16,1.28
"2500 ticket(s)",17,0.28
"2500 ticket(s)",18,0.54
"2500 ticket(s)",19,1.86
"2500 ticket(s)",20,0.3
"2500 ticket(s)",21,0
"2500 ticket(s)",22,1.12
"2500 ticket(s)",23,0.04
"2500 ticket(s)",24,1.26
"2500 ticket(s)",25,0.76
"2500 ticket(s)",26,0.74
"2500 ticket(s)",27,2.26
"2500 ticket(s)",28,0.42
"2500 ticket(s)",29,0.38
"2500 ticket(s)",30,0.9
"2500 ticket(s)",31,-0.16
"2500 ticket(s)",32,0.84
"2500 ticket(s)",33,1.8
"2500 ticket(s)",34,0.4
"2500 ticket(s)",35,0.38
"2500 ticket(s)",36,1.06
"2500 ticket(s)",37,10.34
"2500 ticket(s)",38,1.5
"2500 ticket(s)",39,1.22
"2500 ticket(s)",40,0.56
"2500 ticket(s)",41,0.84
"2500 ticket(s)",42,1.26
"2500 ticket(s)",43,10.34
"2500 ticket(s)",44,0.36
"2500 ticket(s)",45,0.58
"2500 ticket(s)",46,2.18
"2500 ticket(s)",47,1.48
"2500 ticket(s)",48,1.36
"2500 ticket(s)",49,1.22
"2500 ticket(s)",50,0.62
"2500 ticket(s)",51,10.4
"2500 ticket(s)",52,0.26
"2500 ticket(s)",53,0.96
"2500 ticket(s)",54,1.44
"2500 ticket(s)",55,1.62
"2500 ticket(s)",56,11.04
"2500 ticket(s)",57,1.88
"2500 ticket(s)",58,-0.26
"2500 ticket(s)",59,0.64
"2500 ticket(s)",60,1.4
"2500 ticket(s)",61,0.62
"2500 ticket(s)",62,1.14
"2500 ticket(s)",63,0.9
"2500 ticket(s)",64,0.72
"2500 ticket(s)",65,0.94
"2500 ticket(s)",66,1.2
"2500 ticket(s)",67,2
"2500 ticket(s)",68,0.6
"2500 ticket(s)",69,0.66
"2500 ticket(s)",70,1.02
"2500 ticket(s)",71,2
"2500 ticket(s)",72,0.94
"2500 ticket(s)",73,0.62
"2500 ticket(s)",74,1.2
"2500 ticket(s)",75,0.6
"2500 ticket(s)",76,1.62
"2500 ticket(s)",77,0.52
"2500 ticket(s)",78,0.6
"2500 ticket(s)",79,0.82
"2500 ticket(s)",80,0.34
"2500 ticket(s)",81,1.8
"2500 ticket(s)",82,1.84
"2500 ticket(s)",83,1.38
"2500 ticket(s)",84,0.78
"2500 ticket(s)",85,0.82
"2500 ticket(s)",86,-0.22
"2500 ticket(s)",87,11.76
"2500 ticket(s)",88,0.44
"2500 ticket(s)",89,1.44
"2500 ticket(s)",90,1.9
"2500 ticket(s)",91,0.24
"2500 ticket(s)",92,1.14
"2500 ticket(s)",93,-0.22
"2500 ticket(s)",94,0.4
"2500 ticket(s)",95,0.36
"2500 ticket(s)",96,0.64
"2500 ticket(s)",97,0.26
"2500 ticket(s)",98,0.44
"2500 ticket(s)",99,0.04
"2500 ticket(s)",100,0.96
"2500 ticket(s)",101,1.54
"2500 ticket(s)",102,1.44
"2500 ticket(s)",103,0.6
"2500 ticket(s)",104,1.48
"2500 ticket(s)",105,0.94
"2500 ticket(s)",106,11.34
"2500 ticket(s)",107,1.98
"2500 ticket(s)",108,1.84
"2500 ticket(s)",109,1.28
"2500 ticket(s)",110,0.14
"2500 ticket(s)",111,1.04
"2500 ticket(s)",112,1.94
"2500 ticket(s)",113,1.24
"2500 ticket(s)",114,0.26
"2500 ticket(s)",115,1.18
"2500 ticket(s)",116,1.92
"2500 ticket(s)",117,0.94
"2500 ticket(s)",118,1.08
"2500 ticket(s)",119,0.8
"2500 ticket(s)",120,1.9
"2500 ticket(s)",121,0.38
"2500 ticket(s)",122,1
"2500 ticket(s)",123,0.68
"2500 ticket(s)",124,0.78
"2500 ticket(s)",125,1.02
"2500 ticket(s)",126,1.54
"2500 ticket(s)",127,1.74
"2500 ticket(s)",128,-0.02
"2500 ticket(s)",129,1.06
"2500 ticket(s)",130,0
"2500 ticket(s)",131,10.7
"2500 ticket(s)",132,0.28
"2500 ticket(s)",133,0.66
"2500 ticket(s)",134,1.06
"2500 ticket(s)",135,0.8
"2500 ticket(s)",136,1.24
"2500 ticket(s)",137,1.02
"2500 ticket(s)",138,0.4
"2500 ticket(s)",139,1.7
"2500 ticket(s)",140,-0.26
"2500 ticket(s)",141,0.12
"2500 ticket(s)",142,0.32
"2500 ticket(s)",143,1.74
"2500 ticket(s)",144,21.2
"2500 ticket(s)",145,0.12
"2500 ticket(s)",146,0.46
"2500 ticket(s)",147,9.86
"2500 ticket(s)",148,0.42
"2500 ticket(s)",149,1.12
"2500 ticket(s)",150,-0.12
"2500 ticket(s)",151,2.12
"2500 ticket(s)",152,1.56
"2500 ticket(s)",153,2.28
"2500 ticket(s)",154,0.5
"2500 ticket(s)",155,1.06
"2500 ticket(s)",156,0.44
"2500 ticket(s)",157,0.84
"2500 ticket(s)",158,0.06
"2500 ticket(s)",159,0.14
"2500 ticket(s)",160,1.08
"2500 ticket(s)",161,1.58
"2500 ticket(s)",162,1.54
"2500 ticket(s)",163,-0.16
"2500 ticket(s)",164,11.62
"2500 ticket(s)",165,0.82
"2500 ticket(s)",166,0.62
"2500 ticket(s)",167,0.3
"2500 ticket(s)",168,0.62
"2500 ticket(s)",169,1.1
"2500 ticket(s)",170,0.54
"2500 ticket(s)",171,0.16
"2500 ticket(s)",172,1.52
"2500 ticket(s)",173,-0.04
"2500 ticket(s)",174,0.76
"2500 ticket(s)",175,0.14
"2500 ticket(s)",176,0.46
"2500 ticket(s)",177,0.1
"2500 ticket(s)",178,0.22
"2500 ticket(s)",179,1.54
"2500 ticket(s)",180,0.72
"2500 ticket(s)",181,0.38
"2500 ticket(s)",182,1.04
"2500 ticket(s)",183,0.44
"2500 ticket(s)",184,0.6
"2500 ticket(s)",185,-0.04
"2500 ticket(s)",186,0.82
"2500 ticket(s)",187,0.98
"2500 ticket(s)",188,1.08
"2500 ticket(s)",189,1
"2500 ticket(s)",190,1.5
"2500 ticket(s)",191,0.8
"2500 ticket(s)",192,1.12
"2500 ticket(s)",193,0.06
"2500 ticket(s)",194,-0.2
"2500 ticket(s)",195,-0.2
"2500 ticket(s)",196,0.98
"2500 ticket(s)",197,0.48
"2500 ticket(s)",198,0.34
"2500 ticket(s)",199,0.94
"2500 ticket(s)",200,0.12
"5000 ticket(s)",1,0.21
"5000 ticket(s)",2,0.38
"5000 ticket(s)",3,1.28
"5000 ticket(s)",4,1.36
"5000 ticket(s)",5,0.77
"5000 ticket(s)",6,0.65
"5000 ticket(s)",7,0.64
"5000 ticket(s)",8,1.16
"5000 ticket(s)",9,5.82
"5000 ticket(s)",10,0.78
"5000 ticket(s)",11,1.26
"5000 ticket(s)",12,1.13
"5000 ticket(s)",13,0.77
"5000 ticket(s)",14,0.42
"5000 ticket(s)",15,0.18
"5000 ticket(s)",16,1.3
"5000 ticket(s)",17,0.8
"5000 ticket(s)",18,1.06
"5000 ticket(s)",19,0.63
"5000 ticket(s)",20,5.6
"5000 ticket(s)",21,1.38
"5000 ticket(s)",22,0.45
"5000 ticket(s)",23,5.96
"5000 ticket(s)",24,0.14
"5000 ticket(s)",25,5.93
"5000 ticket(s)",26,0.19
"5000 ticket(s)",27,5.78
"5000 ticket(s)",28,0.75
"5000 ticket(s)",29,0.84
"5000 ticket(s)",30,0.96
"5000 ticket(s)",31,0.23
"5000 ticket(s)",32,0.91
"5000 ticket(s)",33,0.02
"5000 ticket(s)",34,0.91
"5000 ticket(s)",35,1.16
"5000 ticket(s)",36,0.62
"5000 ticket(s)",37,0.74
"5000 ticket(s)",38,1.48
"5000 ticket(s)",39,6.54
"5000 ticket(s)",40,6.26
"5000 ticket(s)",41,1.2
"5000 ticket(s)",42,5.74
"5000 ticket(s)",43,0.88
